run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
153.0,eta_prime,eta_prime_like,0.3492307657384607,quark_s_const,quark_like,3.5256409962606847,3.176410230522224
154.0,delta_1232,delta_like,3.558550685354155,eta_prime,eta_prime_like,3.7533332957999996,0.19478261044584455
155.0,eta_prime,eta_prime_like,3.898260830582611,delta_1232,delta_like,4.877548780044869,0.9792879494622575
156.0,delta_1232,delta_like,3.4029667143524085,eta_prime,eta_prime_like,4.53764701344706,1.1346802990946516
157.0,deuteron,nucleus,1.845714101142907,delta_1232,delta_like,6.61108688512537,4.765372783982462
158.0,delta_1232,delta_like,4.522318790640358,eta_prime,eta_prime_like,5.008235244035294,0.4859164533949363
159.0,deuteron,nucleus,0.05999999399997179,delta_1232,delta_like,6.804701013442315,6.744701019442344
160.0,tau,lepton,0.09777776800001982,delta_1232,delta_like,5.750579648161214,5.652801880161194
161.0,eta_prime,eta_prime_like,2.7276922804153836,phi,phi_like,3.925710647618354,1.1980183672029705
162.0,eta_prime,eta_prime_like,0.48909090419999773,quark_s_const,quark_like,3.4090908806818203,2.9199999764818227
