run_id,best_target,best_family,best_d_total
75.0,delta_1232,delta_like,0.0
76.0,delta_1232,delta_like,2.851207655183676
77.0,delta_1232,delta_like,0.7850241368125662
78.0,delta_1232,delta_like,6.521738982750475
79.0,pion,pion_like,0.0
80.0,delta_1232,delta_like,0.0
81.0,pion,pion_like,0.0
82.0,pion,pion_like,0.0
83.0,pion,pion_like,0.0
84.0,delta_1232,delta_like,3.301127139416907
85.0,delta_1232,delta_like,8.857729247777536
86.0,pion,pion_like,0.0
87.0,rho,rho_like,7.344173332931854
88.0,quark_s_const,quark_like,8.97435883974359
89.0,pion,pion_like,0.0
90.0,delta_1232,delta_like,1.8633539950715743
91.0,pion,pion_like,0.0
92.0,proton,nucleon_like,11.925643367498113
93.0,delta_1232,delta_like,0.0
94.0,pion,pion_like,0.0
95.0,delta_1232,delta_like,0.7850241368125611
96.0,proton,nucleon_like,2.4395652601534046
97.0,rho,rho_like,11.947873622720119
98.0,pion,pion_like,0.0
99.0,pion,pion_like,0.0
100.0,pion,pion_like,0.0
101.0,delta_1232,delta_like,0.0
102.0,delta_1232,delta_like,3.0888082960091623
103.0,kaon,kaon_like,5.10744544620012
104.0,delta_1232,delta_like,0.0
105.0,pion,pion_like,0.0
106.0,pion,pion_like,0.0
107.0,phi,phi_like,0.9999999500000034
108.0,delta_1232,delta_like,9.770662909410365
109.0,delta_1232,delta_like,2.851207655183676
110.0,phi,phi_like,0.999999950000009
111.0,proton,nucleon_like,4.81844379617719
112.0,delta_1232,delta_like,6.34716167828724
113.0,delta_1232,delta_like,5.669224083044532
114.0,delta_1232,delta_like,1.8633539950715643
115.0,pion,pion_like,0.0
116.0,delta_1232,delta_like,7.741921439115187
117.0,delta_1232,delta_like,6.347161678287221
118.0,quark_ud_const,quark_like,7.980141722877928
119.0,phi,phi_like,0.9999999500000034
120.0,delta_1232,delta_like,2.6721013887658267
121.0,pion,pion_like,0.0
122.0,pion,pion_like,0.0
123.0,delta_1232,delta_like,0.7246376647500483
124.0,pion,pion_like,0.0
125.0,phi,phi_like,0.999999950000009
126.0,pion,pion_like,0.0
127.0,delta_1232,delta_like,0.0
128.0,quark_ud_const,quark_like,8.22583574143944
129.0,delta_1232,delta_like,0.7850241368125662
130.0,delta_1232,delta_like,6.715838357237098
131.0,pion,pion_like,0.0
132.0,delta_1232,delta_like,6.3642090556309014
133.0,delta_1232,delta_like,0.0
134.0,delta_1232,delta_like,8.85772924777754
135.0,pion,pion_like,0.0
136.0,delta_1232,delta_like,7.741921439115174
137.0,delta_1232,delta_like,2.851207655183676
138.0,delta_1232,delta_like,0.0
139.0,pion,pion_like,0.0
140.0,phi,phi_like,5.166666408333338
141.0,delta_1232,delta_like,9.770662909410374
142.0,pion,pion_like,0.0
143.0,proton,nucleon_like,6.200192041200454
144.0,delta_1232,delta_like,0.0
145.0,quark_s_const,quark_like,19.148935877659582
146.0,delta_1232,delta_like,3.0888082960091667
147.0,delta_1232,delta_like,4.553899128651303
148.0,delta_1232,delta_like,11.175176234999345
149.0,delta_1232,delta_like,10.531440960771079
150.0,delta_1232,delta_like,6.591415681284132
151.0,kaon,kaon_like,5.107445446200111
